TEAM,ISOLATION FREQ,ISOLATION PERCENTILE,TRANSITION FREQ,TRANSITION PERCENTILE,PICKNROLL(ball-handler) FREQ,PICKNROLL(ball-handler) PERCENTILE,POSTUP FREQ,POSTUP PERCENTILE,SPOT UP FREQ,SPOT UP PERCENTILE,SPOT UP POSS,SPOT UP FREQ,HANDOFF FREQ,HANDOFF PERCENTILE,CUT FREQ,CUT PERCENTILE,OFFSCREEN FREQ,OFFSCREEN PERCENTILE,PICKNROLL(role-man) FREQ,PICKNROLL(role-man) PERCENTILE,TOUCHES,"AVG SEC PER TOUCH","PASSES MADE","AST TO PASS ADJ",DIST. MILES,AVG SPEED OFF,AVG SPEED DEF,"PAINT TOUCHES",FGA < 8 ft,FGA 8-16 ft,FGA 16-24 ft,FGA > 24 ft
Atlanta Hawks,4.9,51.7,13.2,69,22.3,79.3,4.6,27.6,22.5,72.4,24.8,22.5,3.4,0,6.9,20.7,3.2,75.9,6.9,100,396.3,3.24,274.1,10.9,17.76,4.44,3.83,25.2,34,12.5,15.5,34.5
Boston Celtics,7.8,20.7,14.1,96.6,19.1,75.9,4.2,48.3,22,75.9,24.4,22,5.4,44.8,6.3,58.6,4.5,48.3,5.3,17.2,406.8,3.07,284.7,9.8,17.75,4.44,3.82,22.9,32,13,9.5,45
Brooklyn Nets,9.9,96.6,15.9,93.1,15.4,51.7,2.4,100,21.6,96.6,23.8,21.6,5.3,96.6,8.7,75.9,5.1,58.6,5.6,89.7,397.8,3.05,277.3,11.7,17.45,4.48,3.69,21.1,30.5,13.5,7,35
Charlotte Hornets,5.3,93.1,18.4,64.3,15,13.8,2.4,3.4,25.8,44.8,28.7,25.8,5.1,72.4,7.1,3.4,4.5,6.9,6.6,13.8,426.6,2.85,304.8,10.9,18.43,4.7,3.93,23.9,51,10,6.5,31.5
Chicago Bulls,4.1,62.1,12.7,58.6,18.2,69,5.4,89.7,24.4,27.6,26.9,24.4,5.1,13.8,8.2,100,3.5,24.1,8.2,0,412.8,3.06,291,11.2,18.28,4.6,3.94,22.7,39,14,7.7,25.7
Cleveland Cavaliers,5.8,0,14,48.3,18.4,6.9,4.7,6.9,21.5,0,23.7,21.5,4.9,37.9,9,17.2,3.8,34.5,5.8,65.5,424.3,3.04,303.1,9.7,17.84,4.42,3.89,27.5,34.3,14,8.3,32
Dallas Mavericks,6.2,82.8,12.3,13.8,21.8,93.1,4.8,93.1,24.4,62.1,26.3,24.4,5,69,5.1,55.2,4.3,89.7,6.8,86.2,392.1,3.24,274.9,10,17.51,4.43,3.86,19.8,27.5,13,9,42
Denver Nuggets,5.7,69,14.1,79.3,13,44.8,7.8,72.4,21,79.3,23.1,21,6.1,65.5,8.9,72.4,3.9,31,7.1,41.4,416.4,3.06,295.3,11.1,17.71,4.4,3.87,25.8,33.5,8.5,8,34
Detroit Pistons,5.5,3.4,14.4,64.3,16.4,10.3,4.8,41.4,24.3,6.9,26.7,24.3,6.9,51.7,7,79.3,5.5,44.8,5,62.1,407.5,3.17,287.2,9.9,18.07,4.54,3.93,22.1,47.5,8.5,5,28
Golden State Warriors,5,58.6,16.5,72.4,14.8,86.2,3.2,10.3,22.8,20.7,25.4,22.8,7,93.1,8.8,62.1,8,79.3,3.5,55.2,428.9,2.73,307.5,11.1,18.01,4.67,3.87,18,39,8.5,5.5,35
Houston Rockets,7.8,37.9,16.9,6.9,16.2,34.5,3.1,34.5,26.3,10.3,29.5,26.3,4.2,34.5,5.4,86.2,3.3,17.2,6.6,69,398.1,3.06,277.1,10.2,17.32,4.39,3.84,19.3,47.5,5,3.5,34.5
Indiana Pacers,4.7,24.1,18.7,51.7,15.4,62.1,3.9,13.8,22.5,48.3,25.4,22.5,7.5,48.3,7.6,93.1,4.1,69,5.3,27.6,431.3,2.82,307.6,10.8,18.84,4.8,3.94,22.1,34.3,12,8.3,40
LA Clippers,8.1,72.4,12.9,10.3,19.8,72.4,6.3,79.3,23.7,100,25.5,23.7,3.4,10.3,5.5,96.6,4.4,82.8,5.6,58.6,398.9,3.15,281,10.6,17.31,4.34,3.83,21,35.5,14,8.5,39
Los Angeles Lakers,7.9,13.8,15.4,75.9,15,24.1,8.5,51.7,21.3,34.5,23.5,21.3,4.3,6.9,7.5,82.8,3.8,37.9,5.8,51.7,424.8,2.98,303.4,10.2,17.54,4.24,3.88,22.2,30,11,11.5,37.5
Memphis Grizzlies,4.1,65.5,18.1,31,20.3,17.2,3.9,69,22.9,41.4,26.1,22.9,5.2,27.6,6.3,6.9,3.9,0,5.1,79.3,401.1,3.03,279.1,11.5,18.09,4.57,3.97,25.1,44.5,12,4,34.5
Miami Heat,4.7,44.8,14.9,86.2,16.9,27.6,3.4,65.5,22.5,65.5,23.9,22.5,7.8,75.9,9.4,24.1,4.7,100,5.5,96.6,403.2,3.11,285.2,11.1,18.16,4.59,3.89,22.8,36,17,6.5,34
Milwaukee Bucks,8.6,86.2,19.4,17.2,14.5,82.8,6.7,62.1,19.8,86.2,22.6,19.8,4.5,100,6.9,65.5,3.8,62.1,6.1,72.4,380.1,3.13,254.8,11.8,18.1,4.68,3.82,23.7,30.3,12,7.7,40.7
Minnesota Timberwolves,5.3,34.5,15,20.7,16.4,0,4.6,17.2,24,17.2,27.4,24,6.2,41.4,7.5,41.4,4.6,27.6,5.7,48.3,420.9,2.97,295.6,10.6,18.35,4.63,3.89,21.9,42.5,6,5.5,37.5
New Orleans Pelicans,5.3,48.3,16.3,55.2,17.8,48.3,4.2,75.9,23.5,37.9,26.9,23.5,5.9,31,7.9,44.8,2.6,41.4,4.5,24.1,416.3,2.96,291.6,11,18.36,4.68,3.89,24.9,35,14.3,8,32
New York Knicks,8.5,55.2,11.9,27.6,22.3,41.4,4.8,58.6,24.6,69,26.4,24.6,4.3,55.2,5.6,0,2.9,3.4,5.1,44.8,394.4,3.29,276.2,9.1,17.99,4.47,3.94,19,31,6.5,10,49
Oklahoma City Thunder,7.1,27.6,16.1,0,19,31,2.4,31,26.9,3.4,30.3,26.9,4.8,3.4,5.2,37.9,2.2,86.2,6.1,6.9,408.8,3.05,286.1,9.3,18.1,4.67,3.87,20.2,32.5,13.5,6,39
Orlando Magic,4.1,10.3,13.2,3.4,21.8,3.4,5.5,20.7,21.4,13.8,23.6,21.4,6,82.1,5.4,13.8,5.4,10.3,6.7,31,392.2,3.29,269.5,9.8,18.14,4.56,3.94,20.1,33.5,8.5,6.5,36
