TEAM,ISOLATION FREQ,TRANSITION FREQ,TRANSITION FREQ,PICKNROLL(ball-handler) FREQ,POSTUP FREQ,SPOT UP FREQ,SPOT UP FREQ,OFFSCREEN FREQ,PICKNROLL(role-man) FREQ,"AVG SEC PER TOUCH","PASSES MADE","AST TO PASS ADJ",AVG SPEED OFF,"PAINT TOUCHES",FGA < 8 ft,FGA 8-16 ft,3PA
Atlanta Hawks,4.9,13.2,13.2,22.3,4.6,22.5,22.5,3.2,6.9,3.24,274.1,10.9,4.44,25.2,34,12.5,33.4
Boston Celtics,7.8,14.1,14.1,19.1,4.2,22,22,4.5,5.3,3.07,284.7,9.8,4.44,22.9,32,13,36.4
Brooklyn Nets,9.9,15.9,15.9,15.4,2.4,21.6,21.6,5.1,5.6,3.05,277.3,11.7,4.48,21.1,30.5,13.5,36.1
Charlotte Hornets,5.3,18.4,18.4,15,2.4,25.8,25.8,4.5,6.6,2.85,304.8,10.9,4.7,23.9,51,10,37
Chicago Bulls,4.1,12.7,12.7,18.2,5.4,24.4,24.4,3.5,8.2,3.06,291,11.2,4.6,22.7,39,14,34
Cleveland Cavaliers,5.8,14,14,18.4,4.7,21.5,21.5,3.8,5.8,3.04,303.1,9.7,4.42,27.5,34.3,14,29.7
Dallas Mavericks,6.2,12.3,12.3,21.8,4.8,24.4,24.4,4.3,6.8,3.24,274.9,10,4.43,19.8,27.5,13,38.1
Denver Nuggets,5.7,14.1,14.1,13,7.8,21,21,3.9,7.1,3.06,295.3,11.1,4.4,25.8,33.5,8.5,34.2
Detroit Pistons,5.5,14.4,14.4,16.4,4.8,24.3,24.3,5.5,5,3.17,287.2,9.9,4.54,22.1,47.5,8.5,32.9
Golden State Warriors,5,16.5,16.5,14.8,3.2,22.8,22.8,8,3.5,2.73,307.5,11.1,4.67,18,39,8.5,38.7
Houston Rockets,7.8,16.9,16.9,16.2,3.1,26.3,26.3,3.3,6.6,3.06,277.1,10.2,4.39,19.3,47.5,5,40.6
Indiana Pacers,4.7,18.7,18.7,15.4,3.9,22.5,22.5,4.1,5.3,2.82,307.6,10.8,4.8,22.1,34.3,12,34
LA Clippers,8.1,12.9,12.9,19.8,6.3,23.7,23.7,4.4,5.6,3.15,281,10.6,4.34,21,35.5,14,34.7
Los Angeles Lakers,7.9,15.4,15.4,15,8.5,21.3,21.3,3.8,5.8,2.98,303.4,10.2,4.24,22.2,30,11,31.2
Memphis Grizzlies,4.1,18.1,18.1,20.3,3.9,22.9,22.9,3.9,5.1,3.03,279.1,11.5,4.57,25.1,44.5,12,31.4
Miami Heat,4.7,14.9,14.9,16.9,3.4,22.5,22.5,4.7,5.5,3.11,285.2,11.1,4.59,22.8,36,17,36.2
Milwaukee Bucks,8.6,19.4,19.4,14.5,6.7,19.8,19.8,3.8,6.1,3.13,254.8,11.8,4.68,23.7,30.3,12,37.1
Minnesota Timberwolves,5.3,15,15,16.4,4.6,24,24,4.6,5.7,2.97,295.6,10.6,4.63,21.9,42.5,6,37.6
New Orleans Pelicans,5.3,16.3,16.3,17.8,4.2,23.5,23.5,2.6,4.5,2.96,291.6,11,4.68,24.9,35,14.3,30.4
New York Knicks,8.5,11.9,11.9,22.3,4.8,24.6,24.6,2.9,5.1,3.29,276.2,9.1,4.47,19,31,6.5,30
Oklahoma City Thunder,7.1,16.1,16.1,19,2.4,26.9,26.9,2.2,6.1,3.05,286.1,9.3,4.67,20.2,32.5,13.5,35.1
Orlando Magic,4.1,13.2,13.2,21.8,5.5,21.4,21.4,5.4,6.7,3.29,269.5,9.8,4.56,20.1,33.5,8.5,31.8
Philadelphia 76ers,5.3,16.5,16.5,17.2,10.2,22,22,2.2,4.9,2.94,308,9.5,4.48,19.3,29.5,20,30.1
Phoenix Suns,6,15.9,15.9,17.4,5.8,24.7,24.7,5,5.9,3.09,284.2,11.6,4.53,24.3,34,15.7,34.6
Portland Trail Blazers,10.2,11.8,11.8,20.5,5.5,19.1,19.1,4.1,6.1,3.5,244.6,10.3,4.31,17.4,36.5,10,40.8
Sacramento Kings,5.2,16.1,16.1,20,3.7,21.1,21.1,3.9,8.7,3.07,279.5,10.8,4.59,22.2,35,18,33.3
San Antonio Spurs,5.2,13.3,13.3,22.2,3.4,26.9,26.9,3.5,6.2,3.3,262.4,10.9,4.57,18.7,40,15.3,28.4
Toronto Raptors,6.1,18.6,18.6,17.1,2.8,23.7,23.7,4.6,6.4,2.98,291.4,10.1,4.61,20,40.7,9.7,39.3
Utah Jazz,5.3,15.3,15.3,22.4,1.9,23.7,23.7,4.6,6.6,2.99,289.4,10.2,4.6,20.7,34.5,10,43
Washington Wizards,8.4,18.9,18.9,14.7,5.7,19.6,19.6,5,4.8,3.05,267.5,11.7,4.67,24.8,35.5,14,29
