TEAM,ISOLATION FREQ,TRANSITION FREQ,POSTUP FREQ,SPOT UP FREQ,PICKNROLL FREQ,AVG SPEED OFF,"AVG SEC PER
TOUCH","PASSES
MADE",MIDRANGE,RESTRICTED AREA,3PA
Atlanta Hawks,4.9,13.2,4.6,22.5,29.2,4.44,3.24,274.1,10.3,25.7,33.4
Boston Celtics,7.8,14.1,4.2,22,24.4,4.44,3.07,284.7,11.7,24.2,36.4
Brooklyn Nets,9.9,15.9,2.4,21.6,21,4.48,3.05,277.3,9.5,26.9,36.1
Charlotte Hornets,5.3,18.4,2.4,25.8,21.6,4.7,2.85,304.8,8.6,28.9,37
Chicago Bulls,4.1,12.7,5.4,24.4,26.4,4.6,3.06,291,11.7,27.8,34
Cleveland Cavaliers,5.8,14,4.7,21.5,24.2,4.42,3.04,303.1,8.3,29.9,29.7
Dallas Mavericks,6.2,12.3,4.8,24.4,28.6,4.43,3.24,274.9,11.8,22.9,38.1
Denver Nuggets,5.7,14.1,7.8,21,20.1,4.4,3.06,295.3,12.8,25.2,34.2
Detroit Pistons,5.5,14.4,4.8,24.3,21.4,4.54,3.17,287.2,9,28.1,32.9
Golden State Warriors,5,16.5,3.2,22.8,18.3,4.67,2.73,307.5,10.6,25.3,38.7
Houston Rockets,7.8,16.9,3.1,26.3,22.8,4.39,3.06,277.1,6.9,30,40.6
Indiana Pacers,4.7,18.7,3.9,22.5,20.7,4.8,2.82,307.6,9.3,33,34
LA Clippers,8.1,12.9,6.3,23.7,25.4,4.34,3.15,281,14.7,22.7,34.7
Los Angeles Lakers,7.9,15.4,8.5,21.3,20.8,4.24,2.98,303.4,12.4,28.8,31.2
Memphis Grizzlies,4.1,18.1,3.9,22.9,25.4,4.57,3.03,279.1,8.8,26.6,31.4
Miami Heat,4.7,14.9,3.4,22.5,22.4,4.59,3.11,285.2,10.1,24.8,36.2
Milwaukee Bucks,8.6,19.4,6.7,19.8,20.6,4.68,3.13,254.8,13.8,26.8,37.1
Minnesota Timberwolves,5.3,15,4.6,24,22.1,4.63,2.97,295.6,8.6,31.2,37.6
New Orleans Pelicans,5.3,16.3,4.2,23.5,22.3,4.68,2.96,291.6,10.7,33.9,30.4
New York Knicks,8.5,11.9,4.8,24.6,27.4,4.47,3.29,276.2,14.2,25.7,30
Oklahoma City Thunder,7.1,16.1,2.4,26.9,25.1,4.67,3.05,286.1,7.8,28.9,35.1
Orlando Magic,4.1,13.2,5.5,21.4,28.5,4.56,3.29,269.5,16.3,22.4,31.8
Philadelphia 76ers,5.3,16.5,10.2,22,22.1,4.48,2.94,308,14.3,25,30.1
Phoenix Suns,6,15.9,5.8,24.7,23.3,4.53,3.09,284.2,16,21.7,34.6
Portland Trail Blazers,10.2,11.8,5.5,19.1,26.6,4.31,3.5,244.6,13.7,25.7,40.8
Sacramento Kings,5.2,16.1,3.7,21.1,28.7,4.59,3.07,279.5,9.3,26.1,33.3
San Antonio Spurs,5.2,13.3,3.4,26.9,28.4,4.57,3.3,262.4,18.1,26.1,28.4
Toronto Raptors,6.1,18.6,2.8,23.7,23.5,4.61,2.98,291.4,9,26.3,39.3
Utah Jazz,5.3,15.3,1.9,23.7,29,4.6,2.99,289.4,6.2,22.7,43
Washington Wizards,8.4,18.9,5.7,19.6,19.5,4.67,3.05,267.5,16.5,24.5,29
